S. No.,source,startupName,foundedDate,description,ICB_industry,ICB_sector,startupClassification,startupClassification2,businessModel,keyword1,keyword2,keyword3,city,state,startupStatus,groupClassification1,groupClassification2,groupClassification3,Group Classification 4,Stage at the time of incubation,"Total investment by founders (Rupees, Lakhs)",Number of Founders,Founder1 Name,Founder2 Name,Founder3 Name,incubator,incubatorDate,Start-up stage,incubatorResult,accelerator,accleratorDate,Start-up stage,accelaratorResult,round1Date,round1InvestorCount,round1LeadInvestorType,round1InvestmentAmount,round1Valuation,Round1 Employees (Number),"Round1 Revenues (Rupees, Lakhs)",round2Date,round2InvestorCount,round2LeadInvestorType,round2InvestmentAmount,round2Valuation,Round2 Shareholding,Round2 Employees (Number),"Round2 Revenues (Rupees, Lakhs)",round3Date,round3InvestorCount,round3LeadInvestorType,round3InvestmentAmount,round3Valuation,Round3 Shareholding,Round3 Employees (Number),"Round3 Revenues (Rupees, Lakhs)",Round4 date,Round4 Total investors,Round4 Lead Investor type,Round4 Investment amount (Rupees Crores),Round4 Valuation (Rupees Crores),Round4 Shareholding,Round4 Employees (Number),"Round4 Revenues (Rupees, Lakhs)"
584,TCA,SREEKAR BROTHERS ONLINE SERVICES  ,,,Consumer_goods,Automobile and parts,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,TCA,​​droptaxi.in,,,Consumer_services,Travel and Leisure,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,TCA,Luxeva  (POPxo.com),,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,TCA,​​www.24x7greenenergy.in,,,Technology,Technology Hardware & Equipment,Technology,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,TCA,​​Magnovo Manufacturers  ,,,Industrials,Industrial goods and services,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,TCA,Wedding Bell,,,Consumer_services,Retail,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,TCA,​​STOLN,,,Consumer_goods,Personal and household goods,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,TCA,​​STOL\'N,,,,,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,TCA,DONUT HOUSE,,,Consumer_goods,Food and beverage,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,TCA,Purple Panda Fashions    (CLOE),,,Consumer_goods,Personal and household goods,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,TCA,HungryForever,,,Consumer_services,Media,"Media, Advertising and Gaming",,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,TCA,Move India,,,Consumer_services,Travel and Leisure,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,TCA,"​​FixNix Inc.,",,,Telecommunication,Telecommunication,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,TCA,​​MasterKube software solutions and services  ,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,TCA,SaveRent.in,,,Financials,Real estate,Fin-Tech and Payments,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,TCA,India CompuMaster   (MyKG2PG.com),,,Consumer_services,Retail,Edu-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,TCA,​​Combopal LLC,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,TCA,Supscri.be,,,Consumer_services,Media,"Media, Advertising and Gaming",,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,TCA,Spouseup,,,Consumer_services,Retail,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,TCA,​​Guiddoo World,,,Consumer_services,Travel and Leisure,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,TCA,Media Lounge . ,,,Consumer_services,Media,"Media, Advertising and Gaming",,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,TCA,​​Logical Learning company P ,,,Technology,Software & Computer Services,Technology,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,TCA,ABC HOME TEXTILES,,,Consumer_goods,Personal and household goods,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,TCA,"Vishwa Narayan, project Theertham",,,Industrials,Industrial goods and services,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,TCA,Quicko Technosoft Labs  (whatfix),,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,TCA,beyond curves,,,Consumer_goods,Personal and household goods,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,TCA,SYMBELL SYSTEMS  ,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,TCA, Constapark - Kodikas Technology  ,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,TCA, AdvantageSB Technology Solutions . ,,,,,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,TCA,ArtisanGilt Internet  ,,,Consumer_goods,Personal and household goods,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,TCA,IndiaEmporium.com,,,Consumer_services,Retail,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,TCA,Sengolan,,,Consumer_goods,Personal and household goods,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,TCA,Ram Services,,,Technology,Technology Hardware & Equipment,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,TCA,Rikoouu Healthcare   (MedDNA),,,,,Health-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,TCA,​​buyforexonline.com,,,Financials,Financial services,Fin-Tech and Payments,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,TCA,Mic & Mac engg.works,,,Consumer_services,Retail,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,TCA,​​babybliss.in,,,Consumer_goods,Personal and household goods,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,TCA,Chrysalis Home Needs  ,,,Consumer_services,Retail,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,TCA,Project Eden,,,Consumer_services,,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,TCA,Clockwork Interviews   (PiQube),,,Consumer_services,Retail,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,TCA,DealsNow Consumer Solutions (HiFives),,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,TCA,Addoc infotech . ,,,Consumer_services,Travel and Leisure,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,TCA,Multimise,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,TCA,Jumbo Textile Mart,,,Consumer_services,Retail,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,TCA,Ideal Examination Solutions  ,,,Consumer_services,Retail,Edu-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,TCA,The Laundry Project,,,Consumer_services,Retail,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,TCA,Aptigra Solutions Ptv ,,,Consumer_services,Travel and Leisure,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,TCA,www.vtsaa.in,,,Consumer_services,Retail,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,TCA,NDIS (India) .  (Albumizer),,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,TCA,47Line,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,TCA,SOLAR LED LIGHTING  ,,,Consumer_goods,Personal and household goods,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,TCA,Gk papers,,,,,,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,TCA,Mrinal Mondal,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,TCA,Poolvo IT Solutions . ,,,Consumer_services,Media,"Media, Advertising and Gaming",,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,TCA,Kapil Israni,,,Financials,Financial services,Fin-Tech and Payments,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,TCA,sparrow -spa for shoes & bags,,,Consumer_goods,Personal and household goods,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,TCA,MyStay,,,Consumer_services,Travel and Leisure,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,TCA,INNERRAINBOW HEALING CENTER,,,Consumer_services,Travel and Leisure,Health-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,TCA,Kaadru.com,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,TCA,socialRecruiting application,,,Consumer_services,Media,"Media, Advertising and Gaming",,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,TCA,Crunchy Fashion  ,,,Consumer_services,Retail,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,TCA,StudyeBuddy Online Services  ,,,Technology,Software & Computer Services,Edu-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,TCA,MICROMBA EDUCATION  ,,,Consumer_services,Retail,Edu-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,TCA,Talk2Tutors,,,Consumer_services,Retail,Edu-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,TCA,Gaf internet  ,,,Technology,Software & Computer Services,Hyperlocal and Logistics,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,TCA,Indulgge,,,Consumer_services,Media,"Media, Advertising and Gaming",,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,TCA,Nectar Packaging,,,Consumer_services,Retail,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,TCA,Juvo Online Services  ,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,TCA,Smeya Entertainment India  ,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,TCA,Mindkey 180 Degrees,,,Consumer_services,Retail,Edu-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,TCA,john wilfare ponraj.A,,,Consumer_services,Retail,Edu-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,TCA,Stops Hostels,,,Consumer_services,Travel and Leisure,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,TCA,PoolCircle Technologies,,,Consumer_services,Retail,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,TCA,IN10NAGAR,,,Consumer_services,Media,"Media, Advertising and Gaming",,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,TCA,Shop To Surprise,,,Consumer_services,Retail,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,TCA,Pedal 2 Go,,,Consumer_goods,Automobile and parts,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,TCA,Cheeni Labs  ,,,Consumer_services,Telecommunication,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,TCA,Hichkey.com,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,TCA,SmartStay.in,,,Consumer_services,,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,TCA,Luxury Lifestyle Web-Store International . ,,,Consumer_services,Retail,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,TCA,AgasSoft Technologies,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,TCA,AgencyOnNet,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,TCA,KAARYAH Lifestyle Solutions  ,,,Consumer_services,Retail,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,TCA,Astra Dairy Farms  ,,,Consumer_goods,Food and beverage,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,TCA,Navigene Genetic Science . ,,,Utilities,Utilities,Health-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,TCA,Adrenaline Rush,,,Consumer_goods,Personal and household goods,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,TCA,Traverse Outdoor Gear  ,,,Consumer_goods,Personal and household goods,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,TCA,Sasya Veda Technologies,,,Consumer_services,Travel and Leisure,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,TCA,instant tea,,,Consumer_goods,Food and beverage,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,TCA,S V Malik,,,Consumer_services,Travel and Leisure,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,TCA,Niche Video Media  ,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,TCA,100rupis.com,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,TCA, www.gyanfinder.com,,,Consumer_services,Retail,Edu-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,TCA,Lexworkz Data Services (P) ,,,Technology,Software & Computer Services,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,TCA,CANCALA CONSULTANCY SERVICES,,,Consumer_services,Retail,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,TCA,PickOPick,,,Technology,Software & Computer Services,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,TCA,Monkeyma,,,Consumer_services,Retail,"Media, Advertising and Gaming",,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,TCA,GREENchip,,,Oil_and_Gas,Oil and gas,Technology,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,TCA,Livrok,,,Consumer_services,Retail,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,TCA,Boo Boo Copier R-charge,,,Consumer_services,Retail,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,TCA,Bryan Peppin / DreamStream Entertainment,,,Consumer_goods,Personal and household goods,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,TCA,Bodhi Brands   (Velvetcase.com),,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,TCA,Pristech Analytics,,,Technology,Software & Computer Services,Technology,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,TCA,Exotic Flora,,,Consumer_services,Retail,Internet marketplace and eCommerce,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,TCA,L&A tech . ,,,Telecommunication,Telecommunication,"Media, Advertising and Gaming",,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,TCA,Profit Shastra,,,Consumer_services,Retail,Edu-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,TCA,361 Degree Minds Consulting  ,,,Consumer_services,Retail,Edu-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,TCA,DocsApp,,,Healthcare,Healthcare,Health-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,TCA,eMEDREACH,,,Healthcare,Healthcare,Health-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,TCA,I-Parent,,,Consumer_services,Retail,Edu-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,TCA,G.K.R.Groups,,,Industrials,Industrial goods and services,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,TCA,hellodoctors,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,TCA,JackOnBlock Facility management,,,Consumer_services,Travel and Leisure,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,TCA,eHelium Pte ,,,Consumer_services,Retail,Edu-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,TCA,hyderabad farm adventures,,,Consumer_services,Travel and Leisure,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,TCA,Squarecoins.com,,,Technology,Software & Computer Services,Technology,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,TCA,Solomon Jacob,,,Consumer_services,Retail,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,TCA,Dosai Asai,,,Consumer_goods,Food and beverage,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,TCA,Depack Ramavat,,,Consumer_services,Retail,Health-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,TCA,Dezains Creative Solutions,,,Consumer_services,,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,TCA,DKG Labs  ,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,TCA,softcell solutions,,,Telecommunication,Telecommunication,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,TCA,Sensevery Wireless,,,Technology,Software & Computer Services,Software and Internet Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,TCA,Greenpill Renewable Energy,,,Oil_and_Gas,Oil and gas,Others,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,TCA,Abhishek Patil,,,Consumer_services,Travel and Leisure,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,TCA,NASA Space schools,,,Consumer_services,Retail,Edu-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,TCA,quickprint,,,Technology,Software & Computer Services,Technology,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,TCA,Sakro Enterprises  ,,,Consumer_services,Retail,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,TCA,Awestruck Foods  ,,,Consumer_goods,Food and beverage,Consumer Products and Services,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,TCA,Medverve Healthcare  ,,,Healthcare,Healthcare,Health-Tech,,,,,,,,Angel investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
